시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
서울,계,"26,107","4,925",559,"1,124","1,631","1,642",662,308,"1,228","1,514","1,604","1,415","1,155","1,132",921,724,"1,428",126,366,305,17,636,96,"2,007",438,99,45
서울,상급종합병원,"6,440","1,616",239,146,583,219,203,157,96,419,214,423,191,146,76,128,656,87,175,140,-,97,62,151,172,24,20
서울,종합병원,"3,571",875,134,77,276,243,130,56,49,189,189,158,98,78,41,95,267,25,77,79,-,62,26,112,210,16,9
서울,병원,"2,040",263,48,14,136,406,164,10,39,175,180,68,95,24,5,11,178,-,5,5,3,95,-,93,7,14,2
서울,요양병원,447,108,41,8,37,10,15,8,2,5,17,12,1,3,1,2,2,1,-,1,-,87,-,81,4,-,1
서울,정신병원,71,3,1,63,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,2,-,-,1
서울,의원,"13,290","2,033",94,813,590,751,145,72,"1,036",699,966,719,770,879,797,486,315,11,109,75,13,291,8,"1,518",44,45,11
서울,치과병원,13,1,-,-,-,-,-,-,2,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,145,19,1,-,6,-,1,4,2,13,26,31,-,2,-,1,1,1,-,5,-,-,-,31,-,-,1
서울,보건지소,5,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
서울,한방병원,85,6,1,3,3,13,4,-,1,4,12,4,-,-,1,1,8,1,-,-,-,4,-,18,1,-,-
부산,계,"7,140","1,486",166,313,519,544,212,84,168,381,478,453,308,330,159,190,289,27,78,74,3,168,20,526,107,46,11
부산,상급종합병원,704,184,32,16,56,24,29,22,14,30,27,27,31,24,9,19,53,9,15,17,-,12,8,15,20,7,4
부산,종합병원,"1,595",400,61,31,130,113,69,27,10,86,76,78,28,43,13,40,118,13,31,34,-,28,9,65,74,15,3
부산,병원,"1,016",178,24,1,87,175,46,2,-,73,111,107,25,4,-,4,77,1,2,2,-,48,1,39,2,6,1
부산,요양병원,554,105,14,2,79,36,18,3,1,14,50,34,2,11,1,9,-,2,2,-,1,41,-,128,1,-,-
부산,정신병원,84,2,-,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
부산,의원,"3,131",614,34,182,160,193,50,29,143,177,204,197,222,245,136,118,37,2,26,20,2,38,2,271,10,18,1
부산,보건소,25,1,-,-,3,-,-,1,-,1,5,6,-,2,-,-,-,-,1,1,-,-,-,3,-,-,1
부산,보건지소,7,-,-,-,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
부산,한방병원,24,2,1,-,3,3,-,-,-,-,3,2,-,1,-,-,4,-,1,-,-,1,-,3,-,-,-
인천,계,"4,729",928,95,176,334,397,175,55,76,244,291,332,197,216,101,127,163,14,39,54,2,130,12,349,166,50,6
인천,상급종합병원,809,218,26,17,75,35,42,19,10,41,22,46,20,21,10,18,49,11,19,16,-,12,6,23,43,8,2
인천,종합병원,834,207,27,15,55,61,47,13,2,46,22,29,6,10,5,21,55,1,7,20,-,17,3,35,96,31,3
인천,병원,486,49,7,4,21,96,30,2,3,29,72,35,39,11,2,2,28,-,-,1,-,35,-,18,1,1,-
인천,요양병원,213,27,19,4,28,6,13,5,1,3,17,7,1,1,1,2,1,-,-,-,-,34,1,38,4,-,-
인천,정신병원,62,-,-,58,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
인천,의원,"2,279",426,16,78,141,193,42,16,57,121,149,211,131,173,83,82,29,2,13,17,2,31,2,231,22,10,1
인천,보건소,10,-,-,-,3,-,-,-,1,-,4,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
인천,보건지소,5,-,-,-,1,-,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,31,1,-,-,9,6,1,-,1,4,3,2,-,-,-,2,1,-,-,-,-,1,-,-,-,-,-
대구,계,"5,243","1,042",146,205,388,370,187,53,138,289,330,349,240,226,137,164,205,21,58,54,1,128,20,373,83,18,18
대구,상급종합병원,"1,074",278,42,25,100,44,35,33,24,53,42,66,36,27,13,28,49,18,30,24,-,18,15,19,36,7,12
대구,종합병원,549,118,23,6,66,45,32,4,9,33,19,21,12,12,4,10,46,1,4,15,-,9,2,20,38,-,-
