시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
서울,계,"26,600","5,026",569,"1,161","1,674","1,701",678,305,"1,274","1,562","1,598","1,455","1,164","1,155",934,720,"1,454",127,366,307,18,657,97,"1,999",451,105,43
서울,상급종합병원,"6,623","1,680",242,154,591,255,210,154,95,432,212,432,197,155,77,126,677,87,174,140,-,105,62,146,173,26,21
서울,종합병원,"3,584",862,134,76,272,256,130,55,44,197,188,170,99,80,39,93,273,25,74,79,-,62,26,110,215,16,9
서울,병원,"2,004",253,49,13,137,386,166,10,40,178,171,64,95,26,3,10,175,-,3,5,2,97,-,95,8,16,2
서울,요양병원,421,99,37,6,42,9,19,9,2,6,18,12,1,1,-,2,2,1,-,1,-,75,-,73,4,1,1
서울,정신병원,74,3,1,65,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,-,1
서울,의원,"13,648","2,104",103,844,617,783,148,73,"1,086",722,975,744,772,891,815,486,317,12,115,76,15,314,9,"1,523",50,46,8
서울,치과병원,12,1,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,142,19,1,-,6,-,1,3,2,14,24,31,-,2,-,1,1,1,-,5,-,-,-,30,-,-,1
서울,보건지소,5,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
서울,한방병원,87,4,2,3,9,12,4,-,3,3,10,2,-,-,-,2,8,1,-,-,-,4,-,19,1,-,-
부산,계,"7,207","1,518",169,314,518,545,216,84,171,378,477,457,307,328,163,189,295,27,80,72,2,173,20,538,108,48,10
부산,상급종합병원,718,191,32,17,57,26,30,24,15,28,27,28,34,22,11,18,51,9,15,16,-,12,8,16,21,7,3
부산,종합병원,"1,638",411,64,31,133,117,71,26,10,91,76,78,33,42,13,42,123,13,31,34,-,29,9,67,77,15,2
부산,병원,"1,010",177,22,1,83,166,47,2,-,72,112,106,25,2,-,2,78,1,2,2,-,54,1,47,1,6,1
부산,요양병원,537,96,14,2,75,33,17,4,-,10,54,35,2,12,-,9,-,2,3,-,-,38,-,129,1,1,-
부산,정신병원,82,2,-,79,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
부산,의원,"3,163",637,36,184,163,200,51,27,146,176,196,201,213,247,139,118,39,2,28,19,2,39,2,269,8,19,2
부산,보건소,27,1,-,-,2,-,-,1,-,1,6,6,-,2,-,-,-,-,1,1,-,-,-,5,-,-,1
부산,보건지소,7,-,-,-,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
부산,한방병원,25,3,1,-,4,3,-,-,-,-,4,1,-,1,-,-,4,-,-,-,-,1,-,3,-,-,-
인천,계,"4,843",968,99,185,331,399,185,64,79,241,290,344,197,217,104,133,170,14,42,53,2,132,12,349,175,51,7
인천,상급종합병원,815,221,28,17,76,35,42,20,10,38,23,50,19,21,10,17,48,11,18,15,-,12,8,23,44,7,2
인천,종합병원,864,215,29,15,56,67,50,16,1,49,23,24,7,13,5,23,57,1,8,20,-,17,2,36,94,32,4
인천,병원,500,52,7,5,21,89,33,3,6,26,73,43,38,11,2,2,32,1,-,1,-,34,-,16,4,1,-
인천,요양병원,211,28,19,4,24,7,12,5,-,2,15,8,2,1,2,5,-,-,-,-,-,34,-,38,5,-,-
인천,정신병원,66,-,-,62,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
인천,의원,"2,337",449,16,82,142,194,46,19,59,124,146,215,131,171,85,85,32,1,16,17,2,33,2,230,28,11,1
인천,보건소,10,-,-,-,3,-,-,-,1,-,4,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
인천,보건지소,6,-,-,-,1,1,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,34,3,-,-,7,6,2,1,1,2,4,2,-,-,-,1,1,-,-,-,-,2,-,2,-,-,-
