시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
서울,계,"26,580","5,030",574,"1,159","1,658","1,691",686,304,"1,277","1,561","1,596","1,444","1,172","1,151",928,720,"1,449",126,368,307,19,660,97,"2,008",447,105,43
서울,상급종합병원,"6,631","1,675",245,154,591,252,211,154,96,433,212,435,197,155,77,126,680,86,176,141,-,105,62,149,173,26,20
서울,종합병원,"3,615",883,136,78,274,256,137,56,45,196,190,164,99,82,40,93,270,25,75,78,-,61,26,112,213,16,10
서울,병원,"2,022",256,47,15,136,397,165,10,40,175,169,63,98,27,4,10,176,-,3,4,3,101,-,97,8,16,2
서울,요양병원,425,100,39,7,38,9,16,8,2,6,19,10,1,1,-,2,2,1,-,1,-,80,-,77,4,1,1
서울,정신병원,76,4,1,66,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,-,1
서울,의원,"13,565","2,087",104,836,606,766,152,72,"1,087",724,970,736,777,884,807,486,311,12,114,77,15,309,9,"1,522",48,46,8
서울,치과병원,11,1,-,-,-,-,-,-,1,9,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,146,19,1,-,6,-,1,3,2,14,25,33,-,2,-,1,1,1,-,5,-,-,-,31,-,-,1
서울,보건지소,5,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
서울,한방병원,84,4,1,3,7,11,4,-,3,4,11,3,-,-,-,2,8,1,-,-,-,4,-,17,1,-,-
부산,계,"7,226","1,519",173,315,518,553,215,84,167,380,484,455,314,332,163,191,293,27,79,72,2,174,20,531,107,47,11
부산,상급종합병원,721,192,34,17,58,26,30,24,15,28,27,28,34,23,11,18,50,9,15,16,-,12,8,16,20,7,3
부산,종합병원,"1,625",411,64,30,131,114,72,26,10,87,77,76,33,43,13,41,121,13,31,34,-,29,9,66,76,15,3
부산,병원,"1,033",180,23,1,82,175,46,2,-,74,115,107,26,3,-,4,80,1,2,2,-,54,1,47,1,6,1
부산,요양병원,546,98,15,2,79,34,17,4,1,11,53,34,2,12,1,9,-,2,3,-,-,39,-,129,1,-,-
부산,정신병원,84,2,-,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
부산,의원,"3,157",632,36,184,160,201,50,27,141,179,200,201,219,248,138,119,38,2,27,19,2,39,2,263,9,19,2
부산,보건소,28,1,-,-,3,-,-,1,-,1,6,6,-,2,-,-,-,-,1,1,-,-,-,5,-,-,1
부산,보건지소,7,-,-,-,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
부산,한방병원,25,3,1,-,4,3,-,-,-,-,4,1,-,1,-,-,4,-,-,-,-,1,-,3,-,-,-
인천,계,"4,851",961,96,184,334,406,182,61,78,247,292,350,197,221,102,131,171,15,40,54,2,137,12,352,172,48,6
인천,상급종합병원,821,224,27,17,76,35,42,20,10,38,23,49,21,21,10,17,49,11,18,15,-,12,7,24,46,7,2
인천,종합병원,857,213,28,13,57,66,51,14,1,50,22,29,6,12,5,22,56,1,8,21,-,18,3,34,94,30,3
인천,병원,500,53,5,4,20,95,28,3,5,29,71,42,38,11,2,2,32,1,-,1,-,37,-,18,3,-,-
인천,요양병원,214,25,19,4,29,7,13,5,-,2,15,9,1,1,2,4,-,-,-,-,-,33,-,40,5,-,-
인천,정신병원,70,-,-,66,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
인천,의원,"2,341",444,17,80,141,195,47,18,59,125,151,217,131,176,83,85,33,2,14,17,2,36,2,230,24,11,1
