시도,요양기관종별,합계,내과,신경과,정신건강의학과,외과,정형외과,신경외과,심장혈관흉부외과,성형외과,마취통증의학과,산부인과,소아청소년과,안과,이비인후과,피부과,비뇨의학과,영상의학과,방사선종양학과,병리과,진단검사의학과,결핵과,재활의학과,핵의학과,가정의학과,응급의학과,직업환경의학과,예방의학과
서울,계,"26,357","4,892",575,"1,170","1,616","1,672",669,306,"1,267","1,533","1,599","1,486","1,152","1,146",931,726,"1,425",128,357,306,18,662,96,"2,004",474,101,46
서울,상급종합병원,"6,197","1,528",239,141,541,210,198,146,89,389,204,459,172,127,72,133,632,86,172,139,-,98,60,137,175,25,25
서울,종합병원,"3,608",841,144,76,284,250,134,58,44,197,191,166,95,83,39,97,272,26,73,77,-,67,26,110,228,19,11
서울,병원,"1,971",258,47,13,123,388,161,10,39,170,168,60,95,24,2,10,181,-,3,5,2,98,-,91,8,15,-
서울,요양병원,435,103,36,7,41,11,19,13,2,9,17,11,1,1,-,2,2,1,-,1,-,77,-,75,4,1,1
서울,정신병원,75,3,1,66,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-,2,-,-,1
서울,의원,"13,823","2,133",105,864,613,799,152,75,"1,086",741,984,757,789,908,818,481,328,12,109,78,15,318,10,"1,542",58,41,7
서울,치과병원,12,1,-,-,-,-,-,-,1,10,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
서울,보건소,140,19,1,-,5,-,1,3,2,14,24,31,-,2,-,1,1,1,-,5,-,-,-,29,-,-,1
서울,보건지소,5,1,-,-,-,-,-,1,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1,-,-,-
서울,한방병원,91,5,2,3,9,14,4,-,3,3,11,2,-,1,-,2,8,2,-,-,-,4,-,17,1,-,-
부산,계,"7,243","1,511",168,315,523,563,215,91,172,386,465,467,311,329,160,190,305,27,79,72,2,175,19,530,109,49,10
부산,상급종합병원,870,220,37,18,78,34,34,36,17,36,29,37,33,28,12,23,57,13,18,20,-,18,10,23,22,12,5
부산,종합병원,"1,464",356,59,26,116,118,66,18,6,84,72,71,26,35,9,38,122,9,27,30,-,25,6,57,76,12,-
부산,병원,"1,025",186,21,1,85,167,47,1,1,72,105,118,27,2,-,2,79,2,2,2,-,53,1,43,1,6,1
부산,요양병원,529,98,14,2,73,34,16,5,-,12,55,32,2,10,-,8,-,1,3,-,-,37,-,126,1,-,-
부산,정신병원,83,1,-,81,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
부산,의원,"3,212",646,36,187,164,205,52,30,147,181,194,200,223,250,139,119,43,2,28,19,2,41,2,272,9,19,2
부산,보건소,27,1,-,-,2,-,-,1,1,1,6,6,-,2,-,-,-,-,1,1,-,-,-,4,-,-,1
부산,보건지소,7,-,-,-,1,-,-,-,-,-,2,2,-,-,-,-,-,-,-,-,-,-,-,1,-,-,1
부산,한방병원,26,3,1,-,4,5,-,-,-,-,2,1,-,2,-,-,4,-,-,-,-,1,-,3,-,-,-
인천,계,"4,894",971,100,191,338,413,192,60,81,250,289,346,192,220,107,128,173,17,44,50,2,131,12,355,177,48,7
인천,상급종합병원,801,200,27,18,75,30,42,21,12,41,24,53,20,21,11,15,49,11,18,15,-,13,8,21,48,6,2
인천,종합병원,878,221,31,16,59,73,52,15,1,48,22,23,8,12,6,22,57,3,8,19,-,17,1,38,92,30,4
인천,병원,505,52,8,5,23,98,34,1,6,27,70,43,34,11,2,1,31,1,-,1,-,38,-,14,4,1,-
인천,요양병원,210,27,18,4,27,9,13,4,-,3,15,8,-,1,2,3,-,-,-,-,-,33,-,38,5,-,-
인천,정신병원,69,-,-,65,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,-,-,-
인천,의원,"2,379",469,16,83,140,196,50,18,59,129,148,215,130,175,86,86,35,2,18,15,2,29,3,236,27,11,1
인천,보건소,11,-,-,-,4,-,-,-,1,-,4,1,-,-,-,-,-,-,-,-,-,-,-,1,-,-,-
인천,보건지소,6,-,-,-,1,1,-,-,1,-,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
인천,한방병원,35,2,-,-,8,6,1,1,1,2,4,2,-,-,-,1,1,-,-,-,-,1,-,4,1,-,-
대구,계,"5,318","1,061",142,206,401,372,190,55,138,292,336,358,249,227,133,164,212,22,59,51,1,131,22,370,89,19,18
대구,상급종합병원,"1,052",272,39,25,94,36,37,31,21,48,45,71,39,26,11,26,53,19,29,23,-,16,16,19,39,5,12
대구,종합병원,546,115,25,5,68,46,29,6,8,34,19,18,12,11,5,11,47,1,4,14,-,9,1,19,39,-,-
대구,병원,694,92,13,5,39,103,58,2,4,67,82,63,35,2,1,4,39,-,1,1,-,57,1,20,1,4,-
대구,요양병원,226,33,9,-,46,9,9,3,-,4,14,9,1,1,-,1,1,-,-,-,1,19,1,63,2,-,-
대구,정신병원,84,6,-,68,-,1,1,-,-,-,-,1,-,-,-,1,-,-,-,-,-,2,-,4,-,-,-
대구,의원,"2,671",539,56,103,152,175,56,12,104,135,168,188,162,187,116,120,70,-,25,12,-,27,2,240,7,10,5
대구,치과병원,1,-,-,-,-,-,-,-,-,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
대구,보건소,19,2,-,-,-,1,-,-,-,-,6,6,-,-,-,-,-,1,-,1,-,-,1,-,-,-,1
대구,보건지소,5,-,-,-,-,-,-,-,1,1,2,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
