충전소이름,이용가능시간,자세한 위치,주차비,등록일자
충북직할(공용),24시간,직할 사옥 1층 고객주차장 앞,충전시 무료,2016.10.27 0:00
충주지사,24시간,충주지사 사옥 1층 주차장 우측,충전시 무료,2016.10.27 0:00
대구직할(공용),24시간,사옥내 주차장,충전시 무료,2016.10.27 0:00
LGU+ 상암,24시간,상암동 LG U+ 빌딩 지하2층,부가정보없음,2016.10.27 0:00
유수암,주중/주말 : 24시간,커피집 왼쪽,주차비 없음,2017.2.27 0:00
제주해양경찰서 고산출장소,주중/주말 : 24시간,출장소 건물 오른쪽,주차비 없음,2017.2.27 0:00
동부소방서,주중/주말 : 24시간,본관건물 왼쪽,주차비 없음,2017.2.27 0:00
강북성북지사(공용),"지상 24시간, 지하 10-18",지하 1층 주차장,충전시 무료,2016.10.27 0:00
마포용산지사,"주중 08~19시, 주말 09~18시",지상 주차장,충전시 무료,2016.10.27 0:00
강동송파지사,24시간,정문주차장 좌측,충전시 무료,2016.10.27 0:00
래미안광교,24시간,지하2층 주차장,0,2017.7.4 0:00
봉담파밀리에 아파트,24시간,아파트지하주차장,부가정보없음,2017.7.4 0:00
시범한빛마을한화꿈에그린아파트,24시간,지하 주차장 전기실 입구 앞,부가정보없음,2017.7.4 0:00
교동마을동양파라곤,24시간,B2F B09,부가정보없음,2017.7.4 0:00
묵동자이1단지 아파트,24시간,101동 지상주차장 4층,부가정보없음,2017.7.4 0:00
진천교성주공 아파트,24시간  ※외부인 개방,입구 좌측 지상주차장,부가정보없음,2017.7.4 0:00
경기도교육청 안전교육관,24시간,경기도교육청 안전교육관 정문 주차장,0,2021.10.5 10:13
범지기마을 9단지,24시간,904동 지하주차장,부가정보없음,2017.7.9 0:00
안양지사,24시간,지상주차장 입구 좌측 담장측,충전시 무료,2016.10.27 0:00
인천직할,평일:08:40~19:00/주말미개방,사옥 주차장 정문 오른편,충전시 무료,2016.10.27 0:00
벡스코,24시간,부가정보없음,1시간 무료,2021.10.8 10:06
서울서부지방검찰청,24시간,서울서부지방검찰청 지상주차장,무료(검찰청 내부규정에 따름),2021.10.12 15:01
비콘드림힐 아파트,24시간,구내주차장,부가정보없음,2017.7.4 0:00
동성빌라,24시간,지상주차장 2동,없음,2017.7.4 0:00
한신휴아파트,24시간,B3층 118동 1-2호 10번기둥,거주민전용,2017.7.4 0:00
대동중앙 아파트,24시간(아파트 입주자만 이용가능),옥외주차장,없음,2017.7.4 0:00
합천지사,24시간,지상주차장,충전시 무료,2017.2.27 0:00
강서양천지사,24시간,1층 주차장 정면,충전시 무료,2016.10.27 0:00
검단자이1단지 아파트,24시간,지하2층 P26,부가정보없음,2017.7.4 0:00
두정1차대림e편한세상,24시간,지하1층 주차장,부가정보없음,2017.7.9 0:00
범지기마을 9단지,24시간,904동 지하주차장,부가정보없음,2017.7.9 0:00
상록마을삼보아파트,24시간,B1F,0,2017.8.25 0:00
동화로즈빌,24시간,지하주차장(102-103동 사이),부가정보없음,2017.8.12 0:00
김천덕곡주공,24시간  ※외부인 개방,"지하주차장(우측, 102동 옆)",부가정보없음,2017.8.12 0:00
용흥현대1차아파트,24시간  ※외부인 개방,103동 앞 주차장,무료,2017.10.27 11:58
진스빌,24시간,지하3층(입구오른쪽골목 경비실방문),0,2017.4.12 19:06
무학서문 아파트,24시간  ※외부인 개방,경비실 정문 앞쪽,없음,2017.4.12 19:06
상인서한타운,24시간  ※외부인 개방,지하주차장(101-102동 사이 안쪽),0,2017.4.12 19:06
강남전력지사,24시간,지하 1층 주차장 좌측,충전시 무료,2017.2.27 0:00
첨단자이2단지아파트,24시간,(실내지하)주차장2층205동입구,부가정보없음,2017.10.27 11:58
은어송3단지,24시간,308동 지하1층 주차장,0,2017.7.4 0:00
대동다숲 아파트,24시간,지하1층 주차장,0,2017.7.4 0:00
위시티 일산자이1단지 아파트,24시간,"지하주차장 1층,106동",부가정보없음,2017.4.12 19:06
성원포레스타운 아파트,24시간,성원포레스트타운 상가동 옆 지하주차장,0,2017.4.12 19:06
천내보성타운,24시간,지상주차장(105동 동측),0,2017.4.12 19:06
한전사택1단지,24시간  ※외부인 개방,중부발전 죽정사택 죽정복지관 앞,0,2017.4.12 19:06
화명동대림타운,24시간,화명대림타운APT 208동앞 지하주차장,무료,2017.4.12 19:06
남외푸르지오1차,24시간,지하주차장F08 구역,무료,2017.4.12 19:06
구래동 호수마을 e편한세상,24시간,지하2층 주차장 210동 앞 (블럭번호 B24),부가정보없음,2017.4.12 19:06
청주푸르지오캐슬3단지 아파트,24시간  ※외부인 개방,지하2층(301동 2/1라인 입구),0,2017.4.12 19:06
양동시장 공영주차장,주중/주말 : 24시간,(실외완전노출)2층진입 후 10시방향,주차비 없음,2017.2.27 0:00
구서역,24시간,주차장 진입후 정면 주차면,충전시 주차비 50%할인,2017.2.27 0:00
정방폭포,주중/주말 : 24시간,주차장 화장실 동측,주차비 없음,2017.2.27 0:00
무안 청호쉼터(광주방면 국도),주중/주말 : 24시간,(실외캐노피기설)광주방면국도주차장,주차비 없음,2017.1.16 0:00
이노밸리 아파트,24시간  ※외부인 개방,"505동 1,2라인 지하1층주차장 B30",부가정보없음,2017.7.4 0:00
송월주공 아파트,24시간,주차장,부가정보없음,2017.7.4 0:00
제천지사,24시간,제천지사 사옥 1층 주차장 정면 위치,충전시 무료,2016.10.27 0:00
진안골마을 태안11단지주공아파트,24시간,부가정보없음,부가정보없음,2017.8.25 0:00
화성태안푸르지오,24시간,지하1층 112동 F8번 기둥 옆,부가정보없음,2017.8.25 0:00
수지센트럴아이파크,24시간,5주차장 B1 32~33~34,부가정보없음,2017.8.25 0:00
대한동아침산1차무지개아파트,24시간  ※외부인 개방,지하주차장 1층 1-32,부가정보없음,2017.10.27 11:58
봉암서광아파트,24시간,103동앞 주차장,0,2017.10.27 11:58
일성한샘빌라1차,24시간,53라인 오른쪽 지상주차장,주차비 없음,2017.10.27 11:58
노형부영3차아파트,24시간,주차장,부가정보없음,2017.10.27 11:58
조양상떼빌,24시간,주차장,부가정보없음,2017.10.27 11:58
노은리슈빌3차아파트,24시간  ※외부인 개방,지하주차장,부가정보없음,2017.10.27 12:25
개운휴먼시아1단지 아파트,24시간,지하3주차장 B1 8면주차칸 맞은편,무료,2017.7.9 0:00
해람중학교옆 공영주차장,24시간,해람중학교 앞 공영주차장,무료,2017.9.19 16:25
통일 아파트,24시간,관리사무소 앞,무료,2017.8.25 0:00
코오롱하늘채 아파트,24시간,102동 103동 사이 전기실 뒷편,무료,2017.8.12 0:00
대원칸타빌2차아파트,24시간,지하2층주차장 308동 18 기둥,부가정보없음,2017.11.7 18:30
동문굿모닝힐아파트,24시간  ※외부인 개방,지하1층 주차장 104동 앞,부가정보없음,2017.7.4 0:00
묵동자이2단지 아파트,24시간,201동 지상주차장 3층,부가정보없음,2017.7.4 0:00
도램마을5단지,24시간,"지하2층 주차장(504동, B2-905BL)",부가정보없음,2017.4.12 19:06
진천교성주공 아파트,부가정보없음,입구 좌측 지상주차장,부가정보없음,2017.4.12 19:06
부산대남측,24시간,주차장 진입후 오른쪽 주차면,충전시 주차비 50%할인,2017.2.27 0:00
DMC아이파크 아파트,24시간(입주민전용),지하2주차장,없음(입주민용),2017.7.4 0:00
청라엑슬루타워 아파트,24시간,지하1층 B14,부가정보없음,2017.7.4 0:00
정읍부영2차 아파트,24시간,202동 앞 관리사무소 옆 지상 주차장,0,2017.8.12 0:00
태영2차 아파트,24시간,(실외완전노출)201동 관리사무소 앞,0,2017.8.12 0:00
수목토 아파트,24시간,106동 지하 C32기둥,부가정보없음,2017.7.4 0:00
송파파크데일1단지 아파트,24시간,지하2층 111동 P60 기둥,부가정보없음,2017.7.4 0:00
위례송파푸르지오 아파트,24시간,지하1층 우측 (101동) 38 기둥,부가정보없음,2017.7.4 0:00
서초호반써밋아파트,24시간,지하1층 주차장 104동(C29),부가정보없음,2017.7.4 0:00
금강에스쁘아아파트,24시간  ※외부인 개방,103동 앞 지상주차장,0,2017.7.4 0:00
래미안이스트팰리스3단지아파트,24시간,F1 008,부가정보없음,2017.7.4 0:00
신동아파밀리에,24시간,B2 A25,부가정보없음,2017.7.4 0:00
장안힐스테이트 아파트,24시간,1010동 지하주차장 2층,부가정보없음,2017.7.4 0:00
명륜역,24시간,주차장 진입후 오른쪽 주차면,충전시 주차비 50%할인,2017.2.27 0:00
행당한진타운,24시간,지하주차장,부가정보없음,2017.7.4 0:00
동신 아파트,24시간,지하2층(2-차),부가정보없음,2017.7.4 0:00
휘경베스트빌현대,24시간,지하주차장 1층,부가정보없음,2017.8.25 0:00
성수2차대우 아파트,24시간,지하,부가정보없음,2017.8.25 0:00
쌍문현대3차,부가정보없음,0,부가정보없음,2017.8.25 0:00
월계우남 아파트,24시간,지하1층 들어가서 우측,부가정보없음,2017.8.25 0:00
현대그린 아파트,24시간,지상1층,부가정보없음,2017.8.25 0:00
래미안마포리버웰,24시간,106동 지하주차장2층48기둥,부가정보없음,2017.8.25 0:00
신흥경남아너스빌입주자대표회의,부가정보없음,지하1층 14동과15동 사이,부가정보없음,2017.8.25 0:00
에코메트로한화12단지관리소,24시간,지하2층 G41 1214동 앞,부가정보없음,2017.8.25 0:00
동양덱스빌 아파트,24시간,지하1층 251동 앞,부가정보없음,2017.8.25 0:00
신성미소지움,부가정보없음,부가정보없음,부가정보없음,2017.8.25 0:00
강부맨션 아파트,부가정보없음,부가정보없음,부가정보없음,2017.8.25 0:00
대명늘푸른 아파트,24시간,지하주차장,없음,2017.8.25 0:00
분평계룡리슈빌2단지,24시간  ※외부인 개방,지하주차장,부가정보없음,2017.8.25 0:00
수완진흥더루벤스,부가정보없음,지하,부가정보없음,2017.8.25 0:00
범물우방미진하이츠,24시간,106동 지하주차장,부가정보없음,2017.8.12 0:00
시지5차월드하이츠,24시간,103동 지하주차장,부가정보없음,2017.8.12 0:00
율하휴먼시아12단지,24시간,1202동 지하 1층 41구역,부가정보없음,2017.8.12 0:00
다대현대 아파트,24시간,110동 지하2층 주차장45번~49번,무료,2017.8.12 0:00
구서동쌍용예가1단지 아파트,24시간,지하2층 주차장 B30,무료,2017.8.12 0:00
동원로얄듀크2차 아파트,24시간,B1 / 18~19,무료,2017.8.12 0:00
사천푸르지오,24시간  ※외부인 개방,107동앞 지하1층주차장,무료,2017.8.12 0:00
광덕 아파트,24시간,주차장,부가정보없음,2017.8.12 0:00
방선문6차빌리지,24시간,주차장,부가정보없음,2017.8.12 0:00
창동수산트리플 아파트,24시간,"B1 29,30 벽면",부가정보없음,2017.7.9 0:00
저동현대 아파트,부가정보없음,지상주차장,부가정보없음,2017.8.12 0:00
영종하늘도시한라비발디 아파트,24시간,지하주차장,부가정보없음,2017.7.9 0:00
대림동현대3차 아파트,24시간,지하1층 307동 기둥번호 1-30,부가정보없음,2017.7.4 0:00
우방하이츠,24시간  ※외부인 개방,103동 지하 1층 B10구역,무료,2017.8.25 0:00
덕진왈츠1차,24시간,101동 69라인앞 지하1층주차장,주차비 없음,2017.8.25 0:00
태인면사무소,24시간,면사무소 주차장,부가정보없음,2017.9.19 16:25
여수농협 미평,24시간,(실외완전노출) 주차장 내부,0,2017.9.19 16:25
율촌도서관 공영주차장,24시간,(실외완전노출) 주차장 입구,0,2017.9.19 16:25
광영 근린공원,24시간,(실외완전노출) 주차장입구 좌측,0,2017.9.19 16:25
홈플러스 동광주점,10~23시,(실내지상)지상주차장5층,부가정보없음,2017.9.19 16:25
홈플러스 경산점,06~23시,지상 3층 주차장,무료,2017.9.19 16:25
이마트 영천점,24시간,지상주차장,마트 이용시 무료,2017.9.19 16:25
천북농협 로컬푸드,24시간,지상주차장,0,2017.9.19 16:25
DMC래미안e편한세상,24시간(입주민전용),주차장,없음(입주민용),2017.7.4 0:00
은평뉴타운 박석고개1단지,24시간,지하주차장,없음(입주민),2017.7.4 0:00
한강삼성 아파트,24시간,한강삼성아파트 지하,부가정보없음,2017.7.4 0:00
운양동 풍경마을 래미안 한강2차,24시간,지하2층 블럭번호 187(513동 앞,부가정보없음,2017.7.4 0:00
대동황토방 아파트,24시간,지하주차장 입구 옆 지상주차장,1,2017.7.4 0:00
진북우성 아파트,24시간  ※외부인 개방,113동 지하 주차장(구역 32 . 49),0,2017.8.12 0:00
호성동동아 아파트,24시간  ※외부인 개방,105동 쪽 지하 주차장,0,2017.8.12 0:00
시기현대 아파트,24시간,101동 앞 지상 주차장,0,2017.8.12 0:00
유창파크맨션2차,24시간,202동 옆 지상 주차장,0,2017.8.12 0:00
정읍상동엘지 아파트,24시간,지하 주차장,0,2017.8.12 0:00
수송세영리첼 아파트,부가정보없음,구내주차장,부가정보없음,2017.8.12 0:00
롯데우성 아파트,24시간,103동 앞 지하주차장 2층,부가정보없음,2017.7.4 0:00
아라아이파크,24시간,주차장,없음,2017.7.9 0:00
보성파워텍,평일08:30~17:30,입구 우측,부가정보없음,2017.9.6 8:02
본사 샘플,06월 23일,부가정보없음,부가정보없음,2017.9.6 14:50
중계현대2차 아파트,24시간,"지상 주차장(202동 1,2라인 앞)",부가정보없음,2017.7.4 0:00
성수동아이파크 아파트,24시간,지하주차장 2층 B25 기둥 앞,부가정보없음,2017.7.4 0:00
구로성호메이플라워,24시간,지하주차장 2층,부가정보없음,2017.7.9 0:00
상봉우정 아파트,24시간,지하주차장 1층 입구 오른쪽103동1-2호라인 앞,부가정보없음,2017.7.9 0:00
우당 아파트,24시간,지하4층,없음,2017.7.4 0:00
강남세브란스 병원,주중/주말 : 24시간,왼쪽 지상주차장 진입 후 100미터,충전시 1시간 면제,2017.2.27 0:00
동일하이빌뉴시티 아파트,24시간,B3층 104동,거주민전용,2017.7.4 0:00
신림동부센트레빌,24,101동 지하 1층 창고 좌측,관리사무소,2017.8.12 0:00
공릉대동 아파트,24시간,지하1층,부가정보없음,2017.8.25 0:00
모라벽산 아파트,24시간  ※외부인 개방,101동 지하 1층,무료,2017.8.12 0:00
양주시청,24시간,요금소 지나서 100m앞오른쪽주차장,양주시 조례에 따름,2017.9.19 16:25
장지벽산블루밍아파트,24시간,주차장 3층 106동 입구앞,0,2017.8.12 0:00
홈플러스 파주운정점,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
고양 농수산물 종합 유통센터,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
능곡주민센터,24시간,지상주차장,부가정보없음,2017.9.19 16:25
설악면사무소,24시간,지상주차장,무료,2017.9.19 16:25
홈플러스 강동점,10:00~24:00,지하3층,1시간 면제. 초과시 홈플러스 자체 기준에 따라 부과.,2017.9.19 16:25
남서울농협 하나로마트 우면점,09~22시,4층 주차장,부가정보없음,2017.9.19 16:25
홈플러스 상인점,06~23시,지하3층주차장(지하4층 입구 앞),0,2017.9.19 16:25
가창체육공원,24시간,지상,0,2017.9.19 16:25
대구공항,24시간,본관 전면주차장,0,2017.9.19 16:25
홈플러스 동촌점,마트 오픈시간 중,지하1층 주차장,무료,2017.9.19 16:25
광장12차현대홈타운,부가정보없음,부가정보없음,부가정보없음,2017.8.12 0:00
송현월성아파트,24시간,6동 앞,0,2019.10.15 18:07
서부경찰서,주중/주말 : 24시간,주차장 위병소 옆,주차비 없음,2017.2.27 0:00
화원명곡공원,주중/주말 : 24시간,"지상주차장(좌측, 북동측 끝)",주차비 없음,2017.1.16 0:00
영화동공영주차장,24시간,공용주차장 내 화장실 좌/우,부가정보없음,2017.1.16 0:00
중부전력지사,24시간,뒤편 주차장,무료,2021.8.27 16:52
남양읍주민센터 공용주차장,24시간,경기도 화성시 남양읍 남양리 2226-7,60분이내 무료,2021.8.31 16:48
서곡청솔 아파트,24시간  ※외부인 개방,106동 뒤 지상 주차장,부가정보없음,2017.8.12 0:00
전주서곡LG 아파트,부가정보없음,지하,부가정보없음,2017.8.12 0:00
현대엠코타운 아파트,24시간  ※외부인 개방,지하 주차장 102동(구역 79),부가정보없음,2017.8.12 0:00
대성사랑으로,24시간,(실내지하)P3주차장 18,0,2017.8.12 0:00
가능 SK-VIEW 아파트,24시간,203동 B19 지하주차장 1층,부가정보없음,2017.7.9 0:00
일산 두산위브더제니스,24시간,지하3층 101동 입구뒤,부가정보없음,2017.7.9 0:00
방학극동 아파트,24시간,"지상 주차장(101동 1,2라인 옆)",부가정보없음,2017.7.4 0:00
목포옥암부영애시앙2차 아파트,24시간,(실내지하)P3 주차장 18,무료,2017.8.12 0:00
나주혁신중흥S클래스센트럴1차,24시간,지하 주차장(A51),부가정보없음,2017.8.12 0:00
신월대주 아파트,24시간,(실외완전노출)102동 뒷편 화단 내,0원,2017.8.12 0:00
금호신도시서한이다음,24시간  ※외부인 개방,지하 1층 A39구역,부가정보없음,2017.8.12 0:00
상무 SK뷰,24시간,(실내지하)지하 주차장(A24),무료,2017.7.4 0:00
상동 우성 아파트,24시간,(실외완전노출)110동앞 주차장,무료,2017.7.4 0:00
남인천지사,24시간,입차시 지상주차장 좌측,충전시 무료,2016.10.27 0:00
범지기마을12단지,24시간,지하주차장,부가정보없음,2017.7.4 0:00
침산코오롱하늘채2단지,24시간  ※외부인 개방,지하주차장 1층 B13,부가정보없음,2017.8.12 0:00
위례롯데캐슬,24시간,지하1층 주차장,입주민 전용,2017.7.4 0:00
대동빌라트,24시간  ※외부인 개방,관리사무소 뒤주차장,0,2017.4.12 19:06
태전한일 아파트,24시간  ※외부인 개방,102동 지하1층,부가정보없음,2017.8.12 0:00
삼주봉황4차타운,24시간  ※외부인 개방,503동 505동 지하주차장 1층,부가정보없음,2017.8.12 0:00
홈플러스 방학점,24시간,지상 5층 주차장,없음,2017.9.19 16:25
마니산국민관광지,24시간,주차장 동쪽방면 끝위치,0,2017.9.19 16:25
고촌읍 주민센터,24시간,지하주차장,0,2017.9.19 16:25
수완2차호반베르디움,24시간,(실내지하) 주차장,무료,2017.8.25 0:00
꿈의숲대명루첸 아파트,24시간,B1층 103동 3-5호 B-31기둥,거주민전용,2017.7.4 0:00
대원칸타빌2차아파트,24시간,지하 2층 주차장,부가정보없음,2017.11.7 17:57
여주시청주차장,주중/주말 : 06시~23시,지상주차장,충전시 주차비 면제,2017.2.27 0:00
중소기업 비지니스센터,24시간,주차장 진입후 건물끝쪽 주차면,충전시 주차비 면제,2017.2.27 0:00
개신삼익1차 아파트,24시간  ※외부인 개방,지상주차장(105동 앞),부가정보없음,2017.8.12 0:00
하복대벽산 아파트,24시간  ※외부인 개방,"105동 3,4호앞 지하1층주차장 49",부가정보없음,2017.8.12 0:00
율량대원칸타빌4차 아파트,24시간  ※외부인 개방,지하2층주차장 802동 B06,부가정보없음,2017.8.12 0:00
음성금광포란재 아파트,24시간  ※외부인 개방,104-107동 사이 지하1층 D23,부가정보없음,2017.8.12 0:00
에코메트로10단지,24시간,지하2층 105동 앞,부가정보없음,2017.7.9 0:00
첫마을3단지,24시간,지하주차장,부가정보없음,2017.7.4 0:00
동울산지사,24시간,사옥 정면 고객용 주차장,충전시 무료,2016.10.27 0:00
홈플러스 칠곡점,09~23,지하1층,무료,2017.9.19 16:25
홈플러스 영주점,10~23시,4층주차장(안쪽),0,2017.9.19 16:25
이마트 구미점,24시간,3층주차장 자동차정비소 옆,부가정보없음,2017.9.19 16:25
홈플러스 동래점,24시간,지하2층 B2  F12,1시간 무료,2017.9.19 16:25
양산웅상출장소,24시간,주차장내,"1시간면제, 초과시 50%할인",2017.9.19 16:25
김해 대동면사무소,24시간,야외주차장,"1시간 무료, 초과시 50%할인",2017.9.19 16:25
마암면사무소 주차장,24시간,사무소 앞,"1시간 무료, 초과시 주차요금의 50% 할인",2017.9.19 16:25
남창원농협 농수산물유통센터,10:00~22:00,옥상 주차장,주차비 없음,2017.9.19 16:25
홈플러스 밀양점,06~23시,지상3층 01번기둥 앞,무료,2017.9.19 16:25
각산푸르지오1단지 아파트,24시간,지하 2층 주차장,부가정보없음,2017.7.4 0:00
시지3차신매보성타운 아파트,24시간,지하 1층 주차장,부가정보없음,2017.7.4 0:00
가락쌍용1차 아파트,24시간,(쌍용어린이집 뒷편) 202동 제3주차장 지하1층,부가정보없음,2017.7.4 0:00
마곡엠밸리3단지,24시간,지하2층 A233 기둥,없음,2017.7.4 0:00
신월해주 아파트,24시간,"지하주차장 2층 (좌회전2번,우측벽)",없음,2017.7.4 0:00
서초힐스 아파트,24시간,지하주차장/B1-C49,부가정보없음,2017.7.4 0:00
고척LIG리가 아파트,24시간,지하2층 주차번호 B03(전기실앞),부가정보없음,2017.7.4 0:00
신길삼성래미안,24시간,지하주차장 1층 101동,부가정보없음,2017.7.4 0:00
판교 알파리움2단지,24시간,지하 2층 주차장,0,2017.7.4 0:00
전남대병원 주차타워,24시간,명학회관 옆 주차타워,부가정보없음,2021.11.2 17:57
무지개마을KCC아파트,24시간  ※외부인 개방,B1F,무료,2017.8.12 0:00
양현마을풍림아파트,24시간,B1F 좌측,부가정보없음,2017.7.4 0:00
극동대야 아파트,24시간,APT 지하(B1) 주차장 103동 앞,부가정보없음,2017.7.4 0:00
제주전력지사,24시간,제주전력지사,주차비 무료,2016.10.27 0:00
솔빛쌍용예가,24시간,부가정보없음,부가정보없음,2017.8.12 0:00
죽전1차힐데스하임,24시간  ※외부인 개방,1지하주차장,부가정보없음,2017.8.12 0:00
대흥2차 아파트,24시간,지상 전기실 앞,무료,2017.7.9 0:00
새샘마을9단지,24시간,지하2층 주차장 A-36,부가정보없음,2017.8.12 0:00
횡성지사 전기차 충전소 1,24시간 개방,급속 미설치,부가정보없음,2017.2.27 0:00
경남전력관리처,주중/주말 : 06시~23시,정문진입 30m 좌측 지하주차장 내 우측,충전시 무료,2017.2.27 0:00
김유정문학마을,06~23시,버스 및 화물차 주차장,없음,2017.9.19 16:25
동내면사무소,24시간,지상주차장,없음,2017.9.19 16:25
후평1동행정복지센터,09시 ~ 18시,행정복지센터 뒤편 주차장,없음,2017.9.19 16:25
기후변화대응교육연구센터,24시간,수변공원 주차장,무료,2017.9.19 16:25
차량등록사업소,24시간,차량등록사업소 자전거주차장 옆,무료,2017.9.19 16:25
홈플러스 원주점,마트 운영시간,차량정비소 우측 B1,무료,2017.9.19 16:25
홈플러스 진해점,10~22,지하2층 주차장,0,2017.9.19 16:25
홈플러스 진주점,10~22시,지상4층주차장 I4기둥,무료,2017.9.19 16:25
케이블카제2주차장,24시간,버스주차장 바로위 지상주차장,주차비 없음,2017.9.19 16:25
유배문학관주차장,24시간,지상주차장,무료,2017.9.19 16:25
가람아파트,24시간,113동 뒷편 4지하주차장,부가정보없음,2017.7.4 0:00
미주동방벽운 아파트,24시간,"104,105동 사이 지상주차장",없음,2017.8.12 0:00
진도지사,24시간,(실외완전노출)진입 후 좌측 주차공간,충전시 무료,2016.10.27 0:00
마천동1공영주차장,주중/주말 : 24시간,B동 1층 공영주차장 우측,충전시 1시간면제/초과시50%감면,2017.6.28 19:42
방화동부센트레빌,24시간,지하1층 우측,없음,2017.7.9 0:00
삼성중앙하이츠빌리지,24시간,지하2층 좌측,부가정보없음,2017.7.9 0:00
무악현대 아파트,24시간,110동 지하2층주차장,없음,2017.8.12 0:00
송도자이하버뷰1단지,24시간,지하2층 D16번 기둥,부가정보없음,2017.8.12 0:00
응암3동 공영주차장,주중/주말 : 24시간,공영주차장,"충전시 주차비 1시간 면제, 1시간 초과 50%할인",2016.12.29 0:00
문수데시앙1단지 아파트,24시간,1단지 B2/B-19,무료,2017.7.9 0:00
국립제주박물관,주중/주말 : 07시~19시,주차장 입구 왼쪽,주차비 없음,2017.2.27 0:00
판교원마을12단지,24시간,지하 2층 주차장,0,2017.7.4 0:00
서귀포동홍3LH 아파트,24시간  ※외부인 개방,서귀포 주공3단지 아파트,0,2017.7.9 0:00
강남동주민센터,24시간,강남동주민센터 지상주차장,무료,2017.9.19 16:25
본리2차롯데캐슬,24시간,"지하주차장(203동 옆, G10)",부가정보없음,2017.8.12 0:00
용산청구블루빌타운,24시간,지하주차장(105동 남측),부가정보없음,2017.8.12 0:00
엠코타운더플레닛,24시간  ※외부인 개방,지하주차장(103동 북측),부가정보없음,2017.8.12 0:00
양학산KCC스위첸 아파트,24시간  ※외부인 개방,109동 지하 1층 주차장,무료,2017.8.12 0:00
이동경성골드,24시간  ※외부인 개방,지하주차장,무료,2017.8.12 0:00
창포아이파크1차,24시간  ※외부인 개방,104동 지하주차장 2층 40구역,무료,2017.8.12 0:00
대곡주공9단지아람마을,24시간,지상주차장(901동-상가 사이),0,2017.8.12 0:00
대구월배2차IPARK,24시간,지하주차장(216동 옆),0,2017.8.12 0:00
동서장관빌라,24시간,지하주차장(103동옆),0,2017.8.12 0:00
장로회신학대학교,24시간,남문 주차장 앞,"1시간 주차 무료, 1시간 이후 주차비50% 할인",2017.9.20 10:08
위시티블루밍5단지,24시간,P1 지하주차장 3층 503동 1.2 27B(파란색),부가정보없음,2017.8.12 0:00
주교벽산 아파트,24시간,"지하주차장 진입 후, 아래층",부가정보없음,2017.8.12 0:00
풍동쌍용 아파트,24시간,"지하주차장 1층, 102동 좌측, 잘 안보임",부가정보없음,2017.8.12 0:00
무악청구2차 아파트,24시간(입주민전용),지하주차장,없음(입주민용),2017.7.4 0:00
전하시장 공영주차장,24시간,주차장 진입후 좌측 주차면,충전시 주차비 50%할인,2017.2.27 0:00
서울산지사(공용),24시간,본관건물 고객지원팀 앞 2층 주차장 안,충전시 무료,2016.10.27 0:00
강화지사,24시간,지사 내 고객주차장,0,2017.2.27 0:00
울주군보건소,24시간,보건소 맞은편 아리솔공원 앞쪽 주차면,충전시 주차비 50%할인,2017.2.27 0:00
남원생활체육관,주중/주말 : 24시간,주차장입구 오른쪽,없음,2017.2.27 0:00
난산리 다목적회관,24시간,회관동측 주차장,없음,2017.2.27 0:00
신우 공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.2.27 0:00
구로4동 주택가 공동,주중/주말 : 06시~23시,지상주차장 좌측,협약체결 후 추후 협의,2017.2.27 0:00
군포시청,부가정보없음,주차장,부가정보없음,2017.2.27 0:00
의왕시청,주중/주말 : 06시~23시,시청 정문 우측 지상 주차장,충전시 주차비 면제,2017.2.27 0:00
LH전북본부,"평일07~19시,공휴일/휴일 이용불가",지하 3층 주차장(구역 102동 B3 44),주차비 없음,2017.2.27 0:00
LH대구경북본부,주중/주말 : 09시~20시,지하주차장(안쪽 우측),주차비 없음,2017.2.27 0:00
베라체 공영주차장,부가정보없음,부가정보없음,부가정보없음,2017.2.27 0:00
송당리사무소,주중/주말 : 24시간,본관건물 맞은편,주차비 없음,2017.2.27 0:00
신도8차 아파트,24시간  ※외부인 개방,입구 오른쪽 지하주차장1층,부가정보없음,2017.8.12 0:00
일산임광진흥 아파트,24시간,110동 지하주차장 기둥번호118,부가정보없음,2017.8.12 0:00
양양지사,주중/주말 : 06시~23시,지사주차장,충전시 무료,2017.2.27 0:00
기장지사,24시간,기장지사 사옥 내 주차장(2층),충전시 무료,2017.2.27 0:00
래미안 수지 이스트파크,24시간,P2 47,부가정보없음,2017.7.4 0:00
장신대학교,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
㈜농협대전유통,24시간,2층 주차장,부가정보없음,2017.9.19 16:25
전곡읍사무소,24시간,전곡읍사무소 왼쪽 지상주차장,0,2017.9.19 16:25
홈플러스 북수원점,24시간,B2F,0,2017.9.19 16:25
기흥농협 하나로마트,부가정보없음,부가정보없음,부가정보없음,2017.9.19 16:25
강화군청,06~23시,주차타워 출입 게이트 오른편,0,2017.9.19 16:25
인천업사이클 에코센터,24시간,업사이클 에코센터 주차장,없음,2017.9.19 16:25
수성누리빌데시앙 아파트,24시간,102동 지하1층,부가정보없음,2017.7.4 0:00
강남한신휴플러스6단지 아파트,24시간,지하1층 606동,부가정보없음,2017.7.4 0:00
